financial_year,state_code,state,month,month_date,intrastate_suppliers,intrastate_ewb_count,intrastate_assessable_value,interstate_out_suppliers,interstate_out_ewb_count,interstate_out_assessable_value,interstate_in_suppliers,interstate_in_ewb_count,interstate_in_assessable_value
2018-19,21,Odisha,2018-11,2018-11-01,10729.0,602931.0,12766.808184363,4621.0,178107.0,19360.663670894,26193.0,304371.0,14400.585993120001
2018-19,22,Chhattisgarh,2018-11,2018-11-01,4912.0,147018.0,4795.913234545,6679.0,144327.0,9889.410620210001,19284.0,249947.0,9765.77520503
2018-19,23,Madhya Pradesh,2018-11,2018-11-01,13977.0,266473.0,8832.693507207001,16762.0,327665.0,17664.422358465,59187.0,661071.0,22598.062025020998
2018-19,24,Gujarat,2018-11,2018-11-01,90897.0,2201498.0,64087.040928202005,105954.0,2525219.0,76889.09185653001,103007.0,1102154.0,56923.160857964
2018-19,25,Daman and Diu,2018-11,2018-11-01,1027.0,29331.0,963.6132108850001,1624.0,150887.0,4303.295279889,2208.0,64875.0,4771.283893267
2018-19,26,Dadra and Nagar Haveli,2018-11,2018-11-01,1124.0,44282.0,1737.6719973860002,1903.0,199069.0,8208.785154365,2761.0,93052.0,7035.9802937429995
2018-19,27,Maharashtra,2018-11,2018-11-01,106440.0,3884223.0,100414.752597021,92037.0,2466162.0,92855.613757312,165559.0,1937069.0,92522.023177782
2018-19,29,Karnataka,2018-11,2018-11-01,75762.0,2669837.0,49777.256066981,40345.0,1123642.0,41174.861730348995,86379.0,1200177.0,47435.836672871
2018-19,30,Goa,2018-11,2018-11-01,1326.0,67316.0,1176.693579214,1398.0,53548.0,3930.9019352669998,6779.0,96945.0,3365.969871936
2018-19,31,Lakshadweep,2018-11,2018-11-01,0.0,0.0,0.0,2.0,2.0,0.07778193,33.0,379.0,3.760469457
