financial_year,state_code,state,month,month_date,eligible,on_time,late,total_filed,filing_pct
2017-18,19,West Bengal,2017-07,2017-07-01,347020.0,219688.0,106242.0,325930.0,0.9392254048757996
2017-18,19,West Bengal,2017-08,2017-08-01,405036.0,135795.0,244809.0,380604.0,0.9396794359019939
2017-18,19,West Bengal,2017-09,2017-09-01,416031.0,206247.0,195213.0,401460.0,0.9649761676413536
2017-18,19,West Bengal,2017-10,2017-10-01,422302.0,243472.0,159562.0,403034.0,0.9543738840924267
2017-18,19,West Bengal,2017-11,2017-11-01,436034.0,272747.0,140063.0,412810.0,0.9467380984051702
2017-18,19,West Bengal,2017-12,2017-12-01,443892.0,294267.0,124929.0,419196.0,0.9443648455029602
2017-18,19,West Bengal,2018-01,2018-01-01,453793.0,306431.0,120932.0,427363.0,0.9417575855070484
2017-18,19,West Bengal,2018-02,2018-02-01,463943.0,310097.0,125915.0,436012.0,0.939796483619755
2017-18,19,West Bengal,2018-03,2018-03-01,472982.0,298307.0,145003.0,443310.0,0.9372661116067842
2017-18,20,Jharkhand,2017-07,2017-07-01,82880.0,46423.0,34152.0,80575.0,0.9721887065637066
2017-18,20,Jharkhand,2017-08,2017-08-01,95439.0,33373.0,57280.0,90653.0,0.9498527855488846
2017-18,20,Jharkhand,2017-09,2017-09-01,100685.0,50897.0,45427.0,96324.0,0.9566866961314993
2017-18,20,Jharkhand,2017-10,2017-10-01,101040.0,56454.0,39355.0,95809.0,0.9482284243863817
2017-18,20,Jharkhand,2017-11,2017-11-01,104889.0,63541.0,34886.0,98427.0,0.938392014415239
2017-18,20,Jharkhand,2017-12,2017-12-01,108087.0,70612.0,30336.0,100948.0,0.9339513540018689
2017-18,20,Jharkhand,2018-01,2018-01-01,111749.0,72363.0,31388.0,103751.0,0.9284288897439799
2017-18,20,Jharkhand,2018-02,2018-02-01,115174.0,70747.0,35856.0,106603.0,0.9255821626408738
2017-18,20,Jharkhand,2018-03,2018-03-01,117217.0,66374.0,41903.0,108277.0,0.9237311993994045
2017-18,21,Odisha,2017-07,2017-07-01,139875.0,45509.0,89526.0,135035.0,0.9653976764968722
2017-18,21,Odisha,2017-08,2017-08-01,154796.0,43923.0,101819.0,145742.0,0.9415101165404791
2017-18,21,Odisha,2017-09,2017-09-01,162133.0,64338.0,87667.0,152005.0,0.9375327663091413
2017-18,21,Odisha,2017-10,2017-10-01,159167.0,75101.0,71290.0,146391.0,0.9197321052730779
2017-18,21,Odisha,2017-11,2017-11-01,164732.0,86492.0,62452.0,148944.0,0.9041594832819367
2017-18,21,Odisha,2017-12,2017-12-01,168723.0,97072.0,54505.0,151577.0,0.898377814524398
2017-18,21,Odisha,2018-01,2018-01-01,174193.0,100133.0,55406.0,155539.0,0.8929118850929716
2017-18,21,Odisha,2018-02,2018-02-01,178748.0,101524.0,57516.0,159040.0,0.8897442209143599
2017-18,21,Odisha,2018-03,2018-03-01,183516.0,96060.0,66218.0,162278.0,0.8842716711349419
2017-18,22,Chhattisgarh,2017-07,2017-07-01,83399.0,34671.0,44573.0,79244.0,0.9501792587441097
2017-18,22,Chhattisgarh,2017-08,2017-08-01,90219.0,26288.0,58791.0,85079.0,0.9430275219188863
2017-18,22,Chhattisgarh,2017-09,2017-09-01,93983.0,30665.0,57710.0,88375.0,0.9403296340827596
2017-18,22,Chhattisgarh,2017-10,2017-10-01,87850.0,34199.0,47662.0,81861.0,0.9318269778030734
2017-18,22,Chhattisgarh,2017-11,2017-11-01,90015.0,41022.0,41540.0,82562.0,0.9172026884408154
2017-18,22,Chhattisgarh,2017-12,2017-12-01,90937.0,48492.0,34622.0,83114.0,0.91397341016308
2017-18,22,Chhattisgarh,2018-01,2018-01-01,92590.0,49384.0,34712.0,84096.0,0.9082622313424776
2017-18,22,Chhattisgarh,2018-02,2018-02-01,93525.0,49195.0,35721.0,84916.0,0.9079497460572039
2017-18,22,Chhattisgarh,2018-03,2018-03-01,94349.0,43008.0,42500.0,85508.0,0.9062947143053981
2017-18,23,Madhya Pradesh,2017-07,2017-07-01,257308.0,106142.0,148974.0,255116.0,0.9914810266295646
2017-18,23,Madhya Pradesh,2017-08,2017-08-01,276943.0,72970.0,197079.0,270049.0,0.9751067909280972
2017-18,23,Madhya Pradesh,2017-09,2017-09-01,290350.0,114822.0,166099.0,280921.0,0.9675254003788532
2017-18,23,Madhya Pradesh,2017-10,2017-10-01,274212.0,135768.0,126730.0,262498.0,0.9572812276632678
2017-18,23,Madhya Pradesh,2017-11,2017-11-01,281366.0,163840.0,101593.0,265433.0,0.9433726889531784
2017-18,23,Madhya Pradesh,2017-12,2017-12-01,286853.0,186782.0,82133.0,268915.0,0.9374662283469234
2017-18,23,Madhya Pradesh,2018-01,2018-01-01,294248.0,185757.0,88655.0,274412.0,0.9325874772300916
2017-18,23,Madhya Pradesh,2018-02,2018-02-01,299740.0,183727.0,95000.0,278727.0,0.9298959097884834
2017-18,23,Madhya Pradesh,2018-03,2018-03-01,304929.0,168076.0,114424.0,282500.0,0.9264451724827747
2017-18,24,Gujarat,2017-07,2017-07-01,564539.0,311664.0,244049.0,555713.0,0.9843660048287186
2017-18,24,Gujarat,2017-08,2017-08-01,641658.0,248716.0,381810.0,630526.0,0.9826511942498963
2017-18,24,Gujarat,2017-09,2017-09-01,682019.0,348917.0,322821.0,671738.0,0.9849256399015277
2017-18,24,Gujarat,2017-10,2017-10-01,673475.0,390745.0,271302.0,662047.0,0.9830312929210439
2017-18,24,Gujarat,2017-11,2017-11-01,688205.0,467824.0,206620.0,674444.0,0.980004504471778
2017-18,24,Gujarat,2017-12,2017-12-01,698869.0,524420.0,160026.0,684446.0,0.9793623697717312
2017-18,24,Gujarat,2018-01,2018-01-01,712579.0,520899.0,175970.0,696869.0,0.9779533216667906
2017-18,24,Gujarat,2018-02,2018-02-01,723682.0,531204.0,176020.0,707224.0,0.9772579668970626
2017-18,24,Gujarat,2018-03,2018-03-01,733311.0,516484.0,199518.0,716002.0,0.9763960993357524
2017-18,25,Daman and Diu,2017-07,2017-07-01,4349.0,2952.0,1375.0,4327.0,0.9949413658312256
2017-18,25,Daman and Diu,2017-08,2017-08-01,4781.0,2112.0,2597.0,4709.0,0.9849403890399498
2017-18,25,Daman and Diu,2017-09,2017-09-01,5056.0,2739.0,2212.0,4951.0,0.9792325949367089
2017-18,25,Daman and Diu,2017-10,2017-10-01,5091.0,2853.0,2098.0,4951.0,0.9725004910626596
2017-18,25,Daman and Diu,2017-11,2017-11-01,5195.0,3065.0,1951.0,5016.0,0.965543792107796
2017-18,25,Daman and Diu,2017-12,2017-12-01,5254.0,3438.0,1611.0,5049.0,0.9609821088694328
2017-18,25,Daman and Diu,2018-01,2018-01-01,5330.0,3334.0,1759.0,5093.0,0.9555347091932458
2017-18,25,Daman and Diu,2018-02,2018-02-01,5406.0,3462.0,1702.0,5164.0,0.9552349241583425
2017-18,25,Daman and Diu,2018-03,2018-03-01,5460.0,3309.0,1895.0,5204.0,0.9531135531135531
2017-18,26,Dadra and Nagar Haveli,2017-07,2017-07-01,5291.0,3187.0,1996.0,5183.0,0.9795879795879796
2017-18,26,Dadra and Nagar Haveli,2017-08,2017-08-01,6053.0,2491.0,3354.0,5845.0,0.9656368742772179
2017-18,26,Dadra and Nagar Haveli,2017-09,2017-09-01,6403.0,3363.0,2827.0,6190.0,0.9667343432765891
2017-18,26,Dadra and Nagar Haveli,2017-10,2017-10-01,6534.0,3614.0,2644.0,6258.0,0.9577594123048668
2017-18,26,Dadra and Nagar Haveli,2017-11,2017-11-01,6703.0,4003.0,2353.0,6356.0,0.9482321348649858
2017-18,26,Dadra and Nagar Haveli,2017-12,2017-12-01,6809.0,4527.0,1919.0,6446.0,0.9466882067851373
2017-18,26,Dadra and Nagar Haveli,2018-01,2018-01-01,6964.0,4365.0,2203.0,6568.0,0.9431361286616887
2017-18,26,Dadra and Nagar Haveli,2018-02,2018-02-01,7075.0,4517.0,2137.0,6654.0,0.9404946996466431
2017-18,26,Dadra and Nagar Haveli,2018-03,2018-03-01,7150.0,4294.0,2418.0,6712.0,0.9387412587412587
2017-18,27,Maharashtra,2017-07,2017-07-01,914892.0,582682.0,319691.0,902373.0,0.9863164176755289
2017-18,27,Maharashtra,2017-08,2017-08-01,1006222.0,420286.0,566773.0,987059.0,0.9809554949106658
2017-18,27,Maharashtra,2017-09,2017-09-01,1060520.0,557237.0,484931.0,1042168.0,0.9826952815599894
2017-18,27,Maharashtra,2017-10,2017-10-01,1054857.0,585598.0,445766.0,1031364.0,0.9777287347953324
2017-18,27,Maharashtra,2017-11,2017-11-01,1076657.0,666974.0,379774.0,1046748.0,0.972220493620531
2017-18,27,Maharashtra,2017-12,2017-12-01,1094504.0,742207.0,319158.0,1061365.0,0.969722358255429
2017-18,27,Maharashtra,2018-01,2018-01-01,1114066.0,724962.0,353170.0,1078132.0,0.9677451784723706
2017-18,27,Maharashtra,2018-02,2018-02-01,1133258.0,741702.0,353298.0,1095000.0,0.9662406971757534
2017-18,27,Maharashtra,2018-03,2018-03-01,1148243.0,730896.0,377890.0,1108786.0,0.965637064628306
2017-18,29,Karnataka,2017-07,2017-07-01,503407.0,264970.0,234915.0,499885.0,0.9930036729723662
2017-18,29,Karnataka,2017-08,2017-08-01,530355.0,209672.0,309552.0,519224.0,0.9790121710929471
2017-18,29,Karnataka,2017-09,2017-09-01,553919.0,285816.0,252340.0,538156.0,0.9715427706939102
2017-18,29,Karnataka,2017-10,2017-10-01,537199.0,317680.0,196447.0,514127.0,0.9570512975638451
2017-18,29,Karnataka,2017-11,2017-11-01,549345.0,347652.0,170960.0,518612.0,0.9440551930025758
2017-18,29,Karnataka,2017-12,2017-12-01,556414.0,380553.0,142522.0,523075.0,0.9400823846991628
2017-18,29,Karnataka,2018-01,2018-01-01,568190.0,380462.0,151238.0,531700.0,0.9357785247892431
2017-18,29,Karnataka,2018-02,2018-02-01,579378.0,380599.0,159380.0,539979.0,0.9319977631183787
