financial_year,category,month,cgst,sgst,igst,cess,total
2022-23,gross_revenue,2022-08,25271.110000000004,30950.7,77782.45000000001,10168.380000000001,143611.64
2022-23,gross_revenue,2022-09,26039.360000000004,31813.449999999997,80464.32999999999,10137.48,147686.37
2022-23,gross_revenue,2022-10,25681.490000000005,33395.63,81777.87999999999,10505.49,151718.36000000002
2022-23,gross_revenue,2022-11,26710.59,32650.59999999999,77102.51000000001,10432.670000000002,145867.27
2022-23,gross_revenue,2022-12,29051.110000000008,33357.05000000001,78434.07,11005.050000000001,149506.76
2022-23,gross_revenue,2023-01,27662.169999999995,36846.70999999999,80994.62999999999,10661.739999999996,157554.19
2022-23,gross_revenue,2023-02,29545.520000000004,34915.42,75068.72,11930.830000000004,149577.14
2022-23,gross_revenue,2023-03,29545.520000000004,37314.47999999999,82907.2,10354.78,160121.97999999998
2023-24,domestic,2023-04,28410.67,47411.530000000006,54186.00999999999,11123.95,151161.71
2023-24,domestic,2023-05,31012.699999999993,35827.94,39591.070000000014,10431.4,114261.08000000003
2023-24,domestic,2023-06,29773.329999999994,38292.46,41256.40999999999,10871.999999999996,121433.56999999999
2023-24,domestic,2023-07,28328.35,37622.65,44691.38,10939.080000000004,123026.44000000003
2023-24,domestic,2023-08,29818.490000000005,35794.04,39701.049999999996,10679.220000000001,114502.66
2023-24,domestic,2023-09,30061.84,37657.169999999984,42477.350000000006,10732.79,120685.8
2023-24,domestic,2023-10,30419.5,38171.3,49187.700000000004,11161.599999999999,128582.43999999999
2023-24,domestic,2023-11,30443.309999999998,38225.94,47810.450000000004,11238.68,127694.56999999996
2023-24,domestic,2023-12,32684.850000000002,37935.17000000001,42721.350000000006,11169.930000000002,122269.76
2023-24,domestic,2024-01,31785.280000000002,40895.240000000005,48951.59000000001,11172.94,133704.61999999997
2023-24,domestic,2024-02,34531.88999999999,39615.450000000004,45504.81000000002,11854.36,128759.90000000002
2023-24,domestic,2024-03,34531.88999999999,43746.12999999999,47624.68,11263.249999999998,137165.94999999998
2023-24,gross_revenue,2023-04,28410.67,47411.530000000006,89158.35999999999,12024.84,187034.94999999998
2023-24,gross_revenue,2023-05,31012.699999999993,35827.94,81362.64000000001,11488.73,157089.98000000004
2023-24,gross_revenue,2023-06,29773.329999999994,38292.46,80291.70999999999,11899.979999999996,161496.85
2023-24,gross_revenue,2023-07,28328.35,37622.65,85930.06,11779.280000000004,165105.32000000004
2023-24,gross_revenue,2023-08,29818.490000000005,35794.04,83251.42,11695.060000000001,159068.87
2023-24,gross_revenue,2023-09,30061.84,37657.169999999984,83622.75,11613.330000000002,162711.74
2023-24,gross_revenue,2023-10,30419.5,38171.3,91314.57,12455.609999999999,172003.32
2023-24,gross_revenue,2023-11,30443.309999999998,38225.94,87008.82,12274.5,167928.75999999995
2023-24,gross_revenue,2023-12,32684.850000000002,37935.17000000001,84254.88,12248.880000000003,164882.24
2023-24,gross_revenue,2024-01,31785.280000000002,40895.240000000005,88549.72,11976.29,174106.09999999998
2023-24,gross_revenue,2024-02,34531.88999999999,39615.450000000004,84098.18000000002,12838.550000000001,168337.46000000002
2023-24,gross_revenue,2024-03,34531.88999999999,43746.12999999999,87946.80821494,12258.780156499997,178483.60837143997
2024-25,domestic,2024-04,32409.039999999997,53538.310000000005,61796.7,12252.039999999994,171432.56999999995
2024-25,domestic,2024-05,32627.160000000003,40265.36,47901.70999999999,11207.210000000001,131783.32000000004
